trade_id,entry_time,exit_time,side,regime,entry_price,exit_price,return_pct,exit_reason
1,2023-01-06 16:00:00,2023-01-24 20:00:00,LONG,trend,1274.02,1555.97,89.8,trail_stop
2,2023-01-29 16:00:00,2023-01-30 04:00:00,LONG,transition,1655.02,1627.45,-3.99,trail_stop
3,2023-01-30 16:00:00,2023-01-31 04:00:00,SHORT,transition,1553.15,1580.04,-3.61,trail_stop
4,2023-02-02 00:00:00,2023-02-02 20:00:00,LONG,transition,1672.3,1643.12,-3.92,trail_stop
5,2023-02-09 00:00:00,2023-02-11 20:00:00,SHORT,transition,1617.92,1538.51,11.96,trail_stop
6,2023-02-13 08:00:00,2023-02-14 12:00:00,SHORT,trend,1485.03,1544.83,-9.81,trail_stop
7,2023-02-15 08:00:00,2023-02-16 20:00:00,LONG,trend,1573.36,1637.84,9.9,trail_stop
8,2023-02-22 12:00:00,2023-02-22 20:00:00,SHORT,transition,1612.6,1643.14,-4.34,trail_stop
9,2023-02-24 12:00:00,2023-02-26 12:00:00,SHORT,transition,1601.82,1605.09,-0.6,trail_stop
10,2023-02-28 20:00:00,2023-03-01 00:00:00,SHORT,transition,1604.11,1638.38,-6.24,trail_stop
11,2023-03-02 12:00:00,2023-03-02 16:00:00,SHORT,transition,1627.17,1648.48,-3.73,trail_stop
12,2023-03-03 00:00:00,2023-03-06 12:00:00,SHORT,transition,1564.34,1578.0,-1.98,trail_stop
13,2023-03-12 20:00:00,2023-03-15 12:00:00,LONG,trend,1581.44,1634.04,5.65,trail_stop
14,2023-03-17 20:00:00,2023-03-22 16:00:00,LONG,trend,1790.52,1716.84,-6.68,signal
15,2023-03-23 12:00:00,2023-03-24 08:00:00,LONG,transition,1838.28,1789.52,-4.74,trail_stop
16,2023-03-29 04:00:00,2023-03-30 16:00:00,LONG,transition,1806.12,1781.62,-3.13,trail_stop
17,2023-03-31 12:00:00,2023-04-02 12:00:00,LONG,transition,1831.88,1797.54,-4.63,trail_stop
18,2023-04-04 08:00:00,2023-04-06 04:00:00,LONG,transition,1866.22,1879.22,1.63,trail_stop
19,2023-04-10 16:00:00,2023-04-11 16:00:00,LONG,transition,1890.05,1894.19,0.52,trail_stop
20,2023-04-13 08:00:00,2023-04-14 12:00:00,LONG,transition,1986.79,2058.34,9.84,trail_stop
21,2023-04-19 20:00:00,2023-04-22 20:00:00,SHORT,transition,1932.38,1874.16,6.21,trail_stop
22,2023-04-26 08:00:00,2023-04-26 16:00:00,LONG,transition,1915.92,1828.74,-11.17,trail_stop
23,2023-04-30 20:00:00,2023-05-02 12:00:00,SHORT,transition,1868.78,1858.8,1.2,trail_stop
24,2023-05-05 12:00:00,2023-05-06 00:00:00,LONG,transition,1954.71,1970.34,2.11,trail_stop
25,2023-05-06 12:00:00,2023-05-07 04:00:00,SHORT,transition,1876.01,1905.56,-3.82,trail_stop
26,2023-05-08 00:00:00,2023-05-10 12:00:00,SHORT,transition,1864.08,1872.84,-1.28,trail_stop
27,2023-05-11 16:00:00,2023-05-12 16:00:00,SHORT,transition,1783.21,1790.01,-1.04,trail_stop
28,2023-05-15 00:00:00,2023-05-17 04:00:00,LONG,transition,1827.37,1807.75,-3.39,trail_stop
29,2023-05-17 08:00:00,2023-05-17 16:00:00,SHORT,transition,1788.95,1828.1,-7.77,trail_stop
30,2023-05-23 00:00:00,2023-05-23 16:00:00,LONG,transition,1867.31,1851.52,-4.11,trail_stop
31,2023-05-28 00:00:00,2023-05-29 12:00:00,LONG,transition,1852.01,1889.41,8.52,trail_stop
